fecha,cantidad.incidente,cantidad_z1,cantidad_z2,cantidad_z3,cantidad_z4,cantidad_z5,cantidad_z6
2020-01-01,0,0,0,0,0,0,0
2020-01-02,27,3,6,11,0,5,2
2020-01-03,19,2,7,5,0,4,1
2020-01-04,6,4,1,0,0,1,0
2020-01-05,1,1,0,0,0,0,0
2020-01-06,12,2,3,7,0,0,0
2020-01-07,12,1,4,1,0,4,2
2020-01-08,26,6,5,8,0,6,1
2020-01-09,19,5,4,3,0,5,2
2020-01-10,11,2,3,2,0,0,4
2020-01-11,2,0,1,0,0,0,1
2020-01-12,1,0,0,0,0,1,0
2020-01-13,17,4,0,6,0,5,2
2020-01-14,18,4,3,0,0,11,0
2020-01-15,12,1,4,3,0,2,2
2020-01-16,6,1,0,1,0,3,1
2020-01-17,8,1,1,1,0,1,4
2020-01-18,5,3,0,0,0,2,0
2020-01-19,1,1,0,0,0,0,0
2020-01-20,16,2,4,6,0,4,0
2020-01-21,8,1,3,2,0,2,0
2020-01-22,16,7,2,3,0,4,0
2020-01-23,13,4,3,1,0,4,1
2020-01-24,18,7,5,3,0,1,2
2020-01-25,4,3,0,0,0,1,0
2020-01-26,1,0,0,0,0,1,0
2020-01-27,11,5,0,1,0,4,1
2020-01-28,18,5,1,4,0,5,3
2020-01-29,16,4,0,5,0,4,3
2020-01-30,11,2,4,3,0,2,0
2020-01-31,23,6,6,6,0,0,5
2020-02-01,2,2,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0
2020-02-03,27,2,5,11,0,7,2
2020-02-04,12,1,4,6,0,0,1
2020-02-05,14,5,5,2,0,1,1
2020-02-06,7,1,2,1,0,3,0
2020-02-07,11,0,4,2,0,3,2
2020-02-08,4,0,0,1,0,3,0
2020-02-09,1,1,0,0,0,0,0
2020-02-10,9,1,2,4,0,1,1
2020-02-11,13,2,3,4,0,4,0
2020-02-12,13,2,1,2,0,4,4
2020-02-13,20,2,7,9,0,0,2
2020-02-14,2,0,1,1,0,0,0
2020-02-15,1,0,0,0,0,1,0
2020-02-16,0,0,0,0,0,0,0
2020-02-17,6,0,3,2,0,1,0
2020-02-18,12,3,5,1,0,1,2
2020-02-19,9,1,5,0,0,3,0
2020-02-20,20,1,3,0,0,16,0
2020-02-21,8,0,3,1,0,1,3
2020-02-22,1,0,1,0,0,0,0
2020-02-23,0,0,0,0,0,0,0
2020-02-24,20,3,1,2,0,11,3
2020-02-25,13,2,1,4,0,5,1
2020-02-26,15,4,1,2,0,7,1
2020-02-27,21,12,6,3,0,0,0
2020-02-28,6,0,2,2,0,1,1
2020-02-29,1,0,0,0,0,1,0
2020-03-01,1,1,0,0,0,0,0
2020-03-02,10,2,3,3,0,2,0
2020-03-03,11,1,5,1,0,3,1
2020-03-04,10,0,4,3,0,2,1
2020-03-05,11,3,3,3,0,2,0
2020-03-06,7,3,1,0,0,2,1
2020-03-07,1,0,0,0,0,0,1
2020-03-08,0,0,0,0,0,0,0
2020-03-09,9,1,3,4,0,0,1
2020-03-10,3,0,1,2,0,0,0
2020-03-11,9,4,2,2,0,1,0
2020-03-12,15,6,3,1,0,2,3
2020-03-13,13,2,1,4,0,4,2
2020-03-14,1,0,0,0,0,0,1
2020-03-15,0,0,0,0,0,0,0
2020-03-16,4,0,0,4,0,0,0
2020-03-17,3,1,2,0,0,0,0
2020-03-18,3,1,0,2,0,0,0
2020-03-19,3,1,0,0,0,2,0
2020-03-20,2,1,0,1,0,0,0
2020-03-21,2,2,0,0,0,0,0
2020-03-22,1,1,0,0,0,0,0
2020-03-23,5,3,2,0,0,0,0
2020-03-24,4,3,1,0,0,0,0
2020-03-25,1,0,0,0,0,0,1
2020-03-26,3,1,0,1,0,1,0
2020-03-27,5,2,2,0,0,1,0
2020-03-28,2,2,0,0,0,0,0
2020-03-29,1,1,0,0,0,0,0
2020-03-30,5,1,2,2,0,0,0
2020-03-31,6,1,2,0,0,2,1
2020-04-01,7,3,0,3,0,1,0
2020-04-02,1,0,0,1,0,0,0
2020-04-03,1,0,1,0,0,0,0
2020-04-04,5,4,0,0,0,1,0
2020-04-05,1,1,0,0,0,0,0
2020-04-06,1,1,0,0,0,0,0
2020-04-07,3,0,1,2,0,0,0
2020-04-08,5,3,0,1,0,1,0
2020-04-09,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0
2020-04-13,9,3,2,4,0,0,0
2020-04-14,2,0,1,0,0,1,0
2020-04-15,13,4,1,3,0,5,0
2020-04-16,4,3,0,1,0,0,0
2020-04-17,5,3,0,1,0,1,0
2020-04-18,4,1,1,1,0,1,0
2020-04-19,0,0,0,0,0,0,0
2020-04-20,7,2,1,2,0,2,0
2020-04-21,3,1,1,0,0,1,0
2020-04-22,4,0,1,2,0,1,0
2020-04-23,1,0,0,0,0,1,0
2020-04-24,6,1,1,1,0,3,0
2020-04-25,1,1,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0
2020-04-27,3,0,0,2,0,0,1
2020-04-28,3,1,1,0,0,1,0
2020-04-29,3,2,0,0,0,1,0
2020-04-30,4,0,1,2,0,1,0
2020-05-01,0,0,0,0,0,0,0
2020-05-02,2,0,0,0,0,2,0
2020-05-03,0,0,0,0,0,0,0
2020-05-04,3,0,0,2,0,0,1
2020-05-05,7,2,1,0,0,4,0
2020-05-06,8,3,0,2,0,3,0
